"Agency_Acronym","Agency_Name","Fiscal_Year"
"AB","United States Access Board","2024"
"AOC","Architect of the Capitol","2024"
"ARC","Administrative Resource Center","2024"
"ASC","Appraisal Subcommittee","2024"
"BEP","Bureau of Engraving and Printing","2024"
"BGSP","Barry Goldwater Scholarship and Excellence in Education Fund","2024"
"CEQ","Council on Environmental Quality","2024"
"CFPB","Consumer Financial Protection Bureau","2024"
"CFTC","Commodity Futures Trading Commission","2024"
"CNCS","Corporation for National and Community Service","2024"
"CPB","Customs and Border Protection","2024"
"CPSC","Consumer Product Safety Commission","2024"
"CSB","Chemical Safety and Hazard Investigation Board","2024"
"CSOSA","Court Services and Offender Supervision Agency for the District of Columbia","2024"
"DENALI","Denali Commission","2024"
"DFC","International Development Finance Corporation","2024"
"DHS","Department of Homeland Security","2024"
"DIA","Defense Intelligence Agency","2024"
"DNFSB","Defense Nuclear Facilities Safety Board","2024"
"DOC","Department of Commerce","2024"
"DOD","Department of Defense Military Programs","2024"
"DOE","Department of Energy","2024"
"DOI","Department of the Interior","2024"
"DOJ","Department of Justice","2024"
"DOL","Department of Labor","2024"
"DOT","Department of Transportation","2024"
"DRA","Delta Regional Authority","2024"
"EAC","Election Assistance Commission","2024"
"ED","Department of Education","2024"
"EEOC","Equal Employment Opportunity Commission","2024"
"EOP","Executive Office of the President","2024"
"EPA","Environmental Protection Agency","2024"
"EXIM","Export-Import Bank of the United States","2024"
"FCA","Farm Credit Administration","2024"
"FCC","Federal Communications Commission","2024"
"FDIC","The Federal Deposit Insurance Corporation","2024"
"FEC","Federal Election Commission","2024"
"FERC","Federal Energy Regulatory Commission","2024"
"FHFA","Federal Housing Finance Agency","2024"
"FLRA","Federal Labor Relations Authority","2024"
"FMC","Federal Maritime Commission","2024"
"FRB","Federal Reserve Board","2024"
"FRTIB","Federal Retirement Thrift Investment Board","2024"
"FTC","Federal Trade Commission","2024"
"GCRC","Gulf Coast Ecosystem Restoration Council","2024"
"GSA","General Services Administration","2024"
"HHS","Department of Health and Human Services","2024"
"HUD","Department of Housing and Urban Development","2024"
"IAF","Inter-American Foundation","2024"
"IMLS","Institute of Museum and Library Services","2024"
"JUFC","Japan-United States Friendship Commission","2024"
"LOC","Library of Congress","2024"
"MCC","Millennium Challenge Corporation","2024"
"MSPB","Merit Systems Protection Board","2024"
"MUSP","Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation","2024"
"NARA","National Archives and Records Administration","2024"
"NASA","National Aeronautics and Space Administration","2024"
"NBRC","Northern Border Regional Commission","2024"
"NCD","National Council on Disability","2024"
"NCUA","National Credit Union Administration","2024"
"NEA","National Endowment for the Arts","2024"
"NEH","National Endowment for the Humanities","2024"
"NGOA","National Gallery of Art","2024"
"NLRB","National Labor Relations Board","2024"
"NMB","National Mediation Board","2024"
"NRC","Nuclear Regulatory Commission","2024"
"NSF","National Science Foundation","2024"
"NTSB","National Transportation Safety Board","2024"
"ODNI","Office of the Director of National Intelligence","2024"
"OGE","Office of Government Ethics","2024"
"OPM","Office of Personnel Management","2024"
"OSC","Office of Special Counsel","2024"
"OSHRC","Occupational Safety and Health Review Commission","2024"
"PBGC","Pension Benefit Guaranty Corporation","2024"
"PC","Peace Corps","2024"
"PCLOB","Privacy and Civil Liberties Oversight Board","2024"
"RRB","Railroad Retirement Board","2024"
"SBA","Small Business Administration","2024"
"SCRC","Southeast Crescent Regional Commission","2024"
"SEC","Securities and Exchange Commission","2024"
"SI","Smithsonian Institution","2024"
"SSA","Social Security Administration","2024"
"SSS","Selective Service System","2024"
"STATE","Department of State","2024"
"STB","Surface Transportation Board","2024"
"TREASURY","Department of the Treasury","2024"
"TSP","Thrift Savings Plan","2024"
"TVA","Tennessee Valley Authority","2024"
"USAB","United States Access Board","2024"
"USACE","United States Army Corps of Engineers","2024"
"USAGM","United States Agency for Global Media, BBG","2024"
"USAID","International Assistance Programs (USAID)","2024"
"USCCR","United States Commission On Civil Rights","2024"
"USDA","Department of Agriculture","2024"
"USHMM","United States Holocaust memorial Museum","2024"
"USIP","United States Institute of Peace","2024"
"USITC","US International Trade Commission","2024"
"USPS","United States Postal Service","2024"
"USTDA","United States Trade and Development Agency","2024"
"USTR","Office Of The United States Trade Representative","2024"
"VA","Department of Veterans Affairs","2024"
