"End Date","Recorded Date","Agency","Program Name","Please provide a brief 1-2 sentence high level description of yo","RootCauseNumber","RootCause","RootCauseDescription","RootCauseValue","MitigationStrategy","AnticipatedImpactMitigation","Provide a detailed description of the actions taken and planned","Quarter Year"
"Feb 16 2025  8:11PM","Feb 16 2025  8:11PM","DEPARTMENT OF HOMELAND SECURITY","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","The Federal Emergency Management Agency (FEMA) Public Assistance program provides supplemental grants to state, local, tribal, and territorial (SLTT) governments, and certain types of private non-profits for emergency response and long-term disaster recovery efforts. Due to the nature of the Public Assistance program, FEMA is reliant on additional parties, such as states, territories, etc., to oversee and execute payments on behalf of the program. The barrier related to the expansive COVID disaster size and the level of burden to collect the necessary supporting documentation serves as a limitation to FEMA in improving the prevention of improper payments due to the inability to readily match information related to financial eligibility.","Please choose Root Cause 1.","Overpayments within agency control that occurred because of a Failure to Access Data/Information Needed.","Requests for information is broad, and barriers specifically related to the expansive disaster size increased the inability to readily collect information in a timely manner and match data related to financial eligibility as outlined in FEMA policies and federal regulations.","136.347","Automation - automatically controlled operation, process, or system","FEMA Grants Manager has workflows to support the request for information as well as the recipientsâ€™ ability to upload documentation. As an ongoing effort heavily focused through September 2026, FEMA will continue to identify potential enhancements to the Grants Manager.","In FY 2025 Quarter 1, FEMA communicated the payment integrity testing results for the Public Assistance Validate as You Go (VAYGo) program to the Public Assistance personnel. Discussion focused on the established corrective action plan to detail the causes of error related to monetary loss and reinforce the importance of corrective actions and recoupment efforts. In addition, the Public Assistance program began the update process for the Public Assistance Program and Policy Guide (PAPPG), with publication planned for FY 2025 Quarter 2. In FY 2025 Quarter 2, FEMA will have published the updates to the PAPPG and be well into the annual payment integrity process to review disbursement activity, evaluate risks, and conduct statistical testing for programs determined to be susceptible to significant improper payments, including statistical testing over the FY 2023 disbursement activity of the Public Assistance VAYGo program.

As ongoing efforts, FEMA remains focused on training, both internally for FEMA personnel as well as externally to SLTTs and recipients. Coupled with the increased knowledge and skillsets, enhancements to automation remain ongoing to continuously improve and enhance the Grants Manager and associate VAYGo Module to reduce recipient burden and enable more efficient and thorough documentation collection and collaboration.","Q1 2025"
"Feb 16 2025  8:11PM","Feb 16 2025  8:11PM","DEPARTMENT OF HOMELAND SECURITY","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","The Federal Emergency Management Agency (FEMA) Public Assistance program provides supplemental grants to state, local, tribal, and territorial (SLTT) governments, and certain types of private non-profits for emergency response and long-term disaster recovery efforts. Due to the nature of the Public Assistance program, FEMA is reliant on additional parties, such as states, territories, etc., to oversee and execute payments on behalf of the program. The barrier related to the expansive COVID disaster size and the level of burden to collect the necessary supporting documentation serves as a limitation to FEMA in improving the prevention of improper payments due to the inability to readily match information related to financial eligibility.","Please choose Root Cause 2.","Overpayments within agency control that occurred because of a Failure to Access Data/Information Needed.","Administrative processing issues and inadequate data / information collection primarily related to the financial related information. ","136.347","Training â€“ teaching a particular skill or type of behavior; refreshing on the proper processing methods.","Training for staff will continue related to execution of proper procedures for reviewing documentation and approval of payments. External training directly focused on regional contacts and SLTTs will continue via workshops, roadshows, and the Emergency Management Institute.","In FY 2025 Quarter 1, FEMA communicated the payment integrity testing results for the Public Assistance Validate as You Go (VAYGo) program to the Public Assistance personnel. Discussion focused on the established corrective action plan to detail the causes of error related to monetary loss and reinforce the importance of corrective actions and recoupment efforts. In addition, the Public Assistance program began the update process for the Public Assistance Program and Policy Guide (PAPPG), with publication planned for FY 2025 Quarter 2. In FY 2025 Quarter 2, FEMA will have published the updates to the PAPPG and be well into the annual payment integrity process to review disbursement activity, evaluate risks, and conduct statistical testing for programs determined to be susceptible to significant improper payments, including statistical testing over the FY 2023 disbursement activity of the Public Assistance VAYGo program.

As ongoing efforts, FEMA remains focused on training, both internally for FEMA personnel as well as externally to SLTTs and recipients. Coupled with the increased knowledge and skillsets, enhancements to automation remain ongoing to continuously improve and enhance the Grants Manager and associate VAYGo Module to reduce recipient burden and enable more efficient and thorough documentation collection and collaboration.","Q1 2025"
"Feb 16 2025  8:11PM","Feb 16 2025  8:11PM","DEPARTMENT OF HOMELAND SECURITY","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","The Federal Emergency Management Agency (FEMA) Public Assistance program provides supplemental grants to state, local, tribal, and territorial (SLTT) governments, and certain types of private non-profits for emergency response and long-term disaster recovery efforts. Due to the nature of the Public Assistance program, FEMA is reliant on additional parties, such as states, territories, etc., to oversee and execute payments on behalf of the program. The barrier related to the expansive COVID disaster size and the level of burden to collect the necessary supporting documentation serves as a limitation to FEMA in improving the prevention of improper payments due to the inability to readily match information related to financial eligibility.","Please choose Root Cause 3.","Overpayments within agency control that occurred because of a Failure to Access Data/Information Needed.","Administrative processing issues and inadequate data / information collection primarily related to the financial related information. ","136.347","Change Process â€“ altering or updating a process or policy to prevent or correct error.","Areas for potential improvement and enhancement are continuously sought. Upon review, planned improvements are captured in iterative updates to the VAYGo processes and documented in the VAYGo Guide providing clear instruction and guidance for regions, SLTTs, and recipients.","In FY 2025 Quarter 1, FEMA communicated the payment integrity testing results for the Public Assistance Validate as You Go (VAYGo) program to the Public Assistance personnel. Discussion focused on the established corrective action plan to detail the causes of error related to monetary loss and reinforce the importance of corrective actions and recoupment efforts. In addition, the Public Assistance program began the update process for the Public Assistance Program and Policy Guide (PAPPG), with publication planned for FY 2025 Quarter 2. In FY 2025 Quarter 2, FEMA will have published the updates to the PAPPG and be well into the annual payment integrity process to review disbursement activity, evaluate risks, and conduct statistical testing for programs determined to be susceptible to significant improper payments, including statistical testing over the FY 2023 disbursement activity of the Public Assistance VAYGo program.

As ongoing efforts, FEMA remains focused on training, both internally for FEMA personnel as well as externally to SLTTs and recipients. Coupled with the increased knowledge and skillsets, enhancements to automation remain ongoing to continuously improve and enhance the Grants Manager and associate VAYGo Module to reduce recipient burden and enable more efficient and thorough documentation collection and collaboration.","Q1 2025"
"Apr 29 2025  2:24PM","Apr 29 2025  2:24PM","HOMELAND SECURITY","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","The Federal Emergency Management Agency (FEMA) Public Assistance program provides supplemental grants to state, local, tribal, and territorial (SLTT) governments, and certain types of private non-profits for emergency response and long-term disaster recovery efforts. Due to the nature of the Public Assistance program, FEMA is reliant on additional parties, such as states, territories, etc., to oversee and execute payments on
behalf of the program. The barrier related to the expansive COVID disaster size and the level of burden to collect the necessary supporting documentation serves as a limitation to FEMA in improving the prevention of improper payments due to the inability to readily match information related to financial eligibility.
","Please choose Root Cause 1.","Overpayments within agency control that occurred because of a Failure to Access Data/Information Needed.","Administrative processing issues and inadequate data / information collection primarily related to the financial related information.","136.347","Change Process – altering or updating a process or policy to prevent or correct error.","Areas for potential improvement and enhancement are continuously sought. Upon review, planned improvements are captured in iterative updates to the VAYGo processes and documented in the VAYGo Guide providing clear instruction and guidance for regions, SLTTs, and recipients.","On January 6, 2025, FEMA published Public Assistance Program and Policy Guide (PAPPG), which simplifies eligibility, streamlines processes, increases accessibility and supports resilience for SLTT governments and certain nonprofits that are recovering from disasters. The guide is the authoritative document for Public Assistance policies and reflects FEMA's continued commitment to improving access to its Public Assistance program and enhancing recovery outcomes. It was revised based on feedback from states, Tribal Nations, territories, nonprofits and the public during a 60-day public comment period. As ongoing efforts, FEMA remains focused on training, both internally for FEMA personnel as well as externally to SLTTs and recipients. In FY 2025 Quarter 2, FEMA delivered targeted VAYGo training to over 40 Consolidated Resources Center (CRC) Atlantic staff to improve the application of documentation standards. To further ensure uniformity in project development, the team at the CRC Atlantic, located in Puerto Rico, works closely with the FEMA Central Office for Recovery, Reconstruction and Resilience. In FY 2025 Quarter 3, FEMA plans to continue validating FY 2023 VAYGo program disbursements, expand training for high-risk recipients, and advance automation in Grants Manager and the VAYGo module to enhance data quality and support timely recoupment or overpayments.","Q2 2025"
"Apr 29 2025  2:24PM","Apr 29 2025  2:24PM","HOMELAND SECURITY","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","The Federal Emergency Management Agency (FEMA) Public Assistance program provides supplemental grants to state, local, tribal, and territorial (SLTT) governments, and certain types of private non-profits for emergency response and long-term disaster recovery efforts. Due to the nature of the Public Assistance program, FEMA is reliant on additional parties, such as states, territories, etc., to oversee and execute payments on
behalf of the program. The barrier related to the expansive COVID disaster size and the level of burden to collect the necessary supporting documentation serves as a limitation to FEMA in improving the prevention of improper payments due to the inability to readily match information related to financial eligibility.
","Please choose Root Cause 3.","Overpayments within agency control that occurred because of a Failure to Access Data/Information Needed.","Requests for information is broad, and barriers specifically related to the expansive disaster size increased the inability to readily collect information in a timely manner and match data related to financial eligibility as outlined in FEMA policies and federal regulations.","136.347","Automation - automatically controlled operation, process, or system","FEMA Grants Manager has workflows to support the request for information as well as the recipients' ability to upload documentation. As an ongoing effort heavily focused through September 2026, FEMA will continue to identify potential enhancements to the Grants Manager.","On January 6, 2025, FEMA published Public Assistance Program and Policy Guide (PAPPG), which simplifies eligibility, streamlines processes, increases accessibility and supports resilience for SLTT governments and certain nonprofits that are recovering from disasters. The guide is the authoritative document for Public Assistance policies and reflects FEMA's continued commitment to improving access to its Public Assistance program and enhancing recovery outcomes. It was revised based on feedback from states, Tribal Nations, territories, nonprofits and the public during a 60-day public comment period. As ongoing efforts, FEMA remains focused on training, both internally for FEMA personnel as well as externally to SLTTs and recipients. In FY 2025 Quarter 2, FEMA delivered targeted VAYGo training to over 40 Consolidated Resources Center (CRC) Atlantic staff to improve the application of documentation standards. To further ensure uniformity in project development, the team at the CRC Atlantic, located in Puerto Rico, works closely with the FEMA Central Office for Recovery, Reconstruction and Resilience. In FY 2025 Quarter 3, FEMA plans to continue validating FY 2023 VAYGo program disbursements, expand training for high-risk recipients, and advance automation in Grants Manager and the VAYGo module to enhance data quality and support timely recoupment or overpayments.","Q2 2025"
"Apr 29 2025  2:24PM","Apr 29 2025  2:24PM","HOMELAND SECURITY","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","The Federal Emergency Management Agency (FEMA) Public Assistance program provides supplemental grants to state, local, tribal, and territorial (SLTT) governments, and certain types of private non-profits for emergency response and long-term disaster recovery efforts. Due to the nature of the Public Assistance program, FEMA is reliant on additional parties, such as states, territories, etc., to oversee and execute payments on
behalf of the program. The barrier related to the expansive COVID disaster size and the level of burden to collect the necessary supporting documentation serves as a limitation to FEMA in improving the prevention of improper payments due to the inability to readily match information related to financial eligibility.
","Please choose Root Cause 2.","Overpayments within agency control that occurred because of a Failure to Access Data/Information Needed.","Administrative processing issues and inadequate data / information collection primarily related to the financial related information.","136.347","Training – teaching a particular skill or type of behavior; refreshing on the proper processing methods.","Training for staff will continue related to execution of proper procedures for
reviewing documentation and approval of payments. External training directly
focused on regional contacts and SLTTs will continue via workshops,
roadshows, and the Emergency Management Institute.","On January 6, 2025, FEMA published Public Assistance Program and Policy Guide (PAPPG), which simplifies eligibility, streamlines processes, increases accessibility and supports resilience for SLTT governments and certain nonprofits that are recovering from disasters. The guide is the authoritative document for Public Assistance policies and reflects FEMA's continued commitment to improving access to its Public Assistance program and enhancing recovery outcomes. It was revised based on feedback from states, Tribal Nations, territories, nonprofits and the public during a 60-day public comment period. As ongoing efforts, FEMA remains focused on training, both internally for FEMA personnel as well as externally to SLTTs and recipients. In FY 2025 Quarter 2, FEMA delivered targeted VAYGo training to over 40 Consolidated Resources Center (CRC) Atlantic staff to improve the application of documentation standards. To further ensure uniformity in project development, the team at the CRC Atlantic, located in Puerto Rico, works closely with the FEMA Central Office for Recovery, Reconstruction and Resilience. In FY 2025 Quarter 3, FEMA plans to continue validating FY 2023 VAYGo program disbursements, expand training for high-risk recipients, and advance automation in Grants Manager and the VAYGo module to enhance data quality and support timely recoupment or overpayments.","Q2 2025"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Payments made by the Defense Finance and Accounting Service (DFAS) to Civilian employees and civil service Mariners for salary, benefits, and other compensation entitlements.","Please choose Root Cause 1.","Insufficient documentation to determine","The Department determined that the root cause of the insufficient supporting documentation errors resulted primarily from internal communication challenges experienced during the implementation of the new testing methodology.","","Cross Enterprise Sharing","To perform a comprehensive review of payments based on the timely submission of proper and sufficient supporting documentation which will ultimately reduce the improper payment amount and rate.","","Q1 2021"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Payments made by the Defense Finance and Accounting Service (DFAS) to Civilian employees and civil service Mariners for salary, benefits, and other compensation entitlements.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q1 2021"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Payments made by the Defense Finance and Accounting Service (DFAS) to Civilian employees and civil service Mariners for salary, benefits, and other compensation entitlements.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q1 2021"
"Dec 10 2021  6:39AM","Dec 10 2021  6:39AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 1.","Administrative or process errors made by: federal agency","Refine system detection criteria to prevent improper payments and provide training when necessary.","","Training","Reduction in improper payments.","","Q4 2021"
