"End Date","Recorded Date","Agency","Program Name","ActionNumber","ActionTaken","RecoveryMethod","OverpaymentsRecoverPlan","Quarter Year"
"Feb 12 2021  2:44PM","Feb 12 2021  2:45PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Overpayments #2","For overpayments identified in Single Audits for which disallowances for expenditures not made in accordance with CCDF regulation were sustained, the disallowances were recovered via offset or repayment.","Recovery Activity","For overpayments identified in Single Audits, states are subject to disallowances for any expenditures not made in accordance with CCDF regulations. Disallowances may be recovered via offset or repayment.","Q1 2021"
"Feb 12 2021  2:53PM","Feb 12 2021  2:53PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Overpayments #2","","","","Q1 2021"
"Feb 12 2021  2:59PM","Feb 12 2021  2:59PM","SBA","504 Certified Development Loans Approvals","Overpayments #2","Modification of loan terms to mitigate or eliminate improper payment.","Recovery Audit","There is no monetary loss on loan approvals.  SBA will continue to work with lenders/CDCs to modify loan terms to mitigate or eliminate improper payments.","Q1 2021"
"Feb 12 2021  4:08PM","Feb 12 2021  4:08PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Overpayments #2","","","","Q1 2021"
"Apr 19 2022 10:59AM","Apr 19 2022 10:59AM","SSA","Supplemental Security Income (SSI)","Overpayments #3","We continued development of a new debt management system, which will improve tracking and allow for more dynamic debt collection.","Recovery Activity","We will continue to refine policies and processes associated with long-term repayment plans.","Q2 2022"
"Feb 12 2021  4:15PM","Feb 12 2021  4:16PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Overpayments #2","For more information pertaining to the recovery of overpayments in the Medicaid program, please see the Medicare & Medicaid Program Integrity Report to Congress on the CMS website. https://www.cms.gov/About-CMS/Components/CPI/CPIReportsGuidance","","For more information pertaining to the recovery of overpayments in the Medicaid program, please see the Medicare & Medicaid Program Integrity Report to Congress on the CMS website. https://www.cms.gov/About-CMS/Components/CPI/CPIReportsGuidance","Q1 2021"
"Feb 12 2021  4:29PM","Feb 12 2021  4:29PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Overpayments #2","","","Pending finalization of CMS-4185-P, HHS is planning to initiate recoveries in FY 2021 on Contract-level audit findings for payment years 2011-2013. ","Q1 2021"
"Feb 12 2021  4:32PM","Feb 12 2021  4:32PM","DOD","Military Pay","Overpayments #2","","","","Q1 2021"
"Feb 12 2021  4:34PM","Feb 12 2021  4:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Overpayments #2","","","","Q1 2021"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Overpayments #2","","","","Q1 2021"
"Feb 12 2021  4:42PM","Feb 12 2021  4:42PM","DOD","Military Health Benefits - Healthcare","Overpayments #2","Recoupments/refunds occurring in the course of routine healthcare claims processing, healthcare claim adjustments or corrections as identified by civilian providers or TRICARE beneficiaries.","Recovery Activity","Continued recoupments occurring in the course of routine healthcare claims processing and adjustments as identified. Non-underwritten healthcare claims greater than $600, if not collected or offset, are referred to the DHA General Counsel.","Q1 2021"
"Feb 12 2021  4:51PM","Feb 12 2021  4:51PM","DOD","Military Retirement","Overpayments #2","R&A completes a systematic monthly death match review, bumping Retirees and Annuitants SSNs against the SSA death files. ","Recovery Activity","The death match run provides a method of notification for deceased payees and timely suspension of pay. Any payments made after the date of death are reclaimed. ","Q1 2021"
