"End Date","Recorded Date","Agency","Program Name","GoalNumber","Goal","GoalStatus","GoalNote","GoalECD","Quarter Year"
"Dec  7 2018  1:07PM","Dec  7 2018  1:07PM","RRB","Medicare","Progress Goal #1","zz","On-Track","z","Apr 20 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:19PM","Dec 11 2018  3:19PM","ED","William D. Ford Federal Direct Loan Program ","Progress Goal #1","Federal Student Aid continues to utilize and promote the IRS DRT, which enables Title IV student aid applicants and, as needed, parents of applicants, to transfer certain tax return information from an IRS website directly to their online FAFSA. ","On-Track","This goal is a continuous activity to reduce improper payments. The ECD listed for this goal represents the date when FSA will assess progress. ","Nov 19 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:37PM","Dec 11 2018  3:37PM","ED","Federal Pell Grant Program","Progress Goal #1","Federal Student Aid continues to utilize and promote the IRS DRT, which enables Title IV student aid applicants and, as needed, parents of applicants, to transfer certain tax return information from an IRS website directly to their online FAFSA.","On-Track","This goal is a continuous activity to reduce improper payments. The ECD listed for this goal represents the date when FSA will assess progress.","Nov 19 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:08AM","Dec 12 2018  8:08AM","ED","William D. Ford Federal Direct Loan Program ","Progress Goal #1","Federal Student Aid continues to utilize and promote the IRS Data Retrieval Tool, which enables Title IV student aid applicants and, as needed, parents of applicants, to transfer certain tax return data from an IRS website directly to their FAFSA.","On-Track","This goal is a continuous activity to reduce improper payments. The ECD listed for this goal represents the date when FSA will assess progress.","Nov 19 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:23AM","Dec 12 2018  8:23AM","ED","Federal Pell Grant Program","Progress Goal #1","Federal Student Aid continues to utilize and promote the IRS Data Retrieval Tool, which enables Title IV student aid applicants and, as needed, parents of applicants, to transfer certain tax return data from an IRS website directly to their FAFSA.","On-Track","This goal is a continuous activity to reduce improper payments. The ECD listed for this goal represents the date when FSA will assess progress.","Nov 19 2018 12:00AM","Q4 2018"
"Dec 13 2018 12:13PM","Dec 13 2018 12:13PM","VA","Purchased Long Term Services and Supports","Progress Goal #1","Develop and implement process for converting Basic Ordering Agreements to Indefinite Delivery Indefinite Quantity (IDIQ) contracts to ensure Ordering Officers are in place and contracts are compliant with FAR.","On-Track","Currently in the process of conducting an inventory on the ordering officers delegations for facilities that have converted IDIQ's within the last 18 months. ","Feb 19 2018 12:00AM","Q4 2018"
"Dec 13 2018  2:34PM","Dec 13 2018  2:34PM","DOT","Federal Highway Administration Highway Planning and Construction","Progress Goal #1","Complete recovery actions for identified improper payments.","On-Track","","Mar 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  9:11AM","Dec 14 2018  9:11AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Progress Goal #1","Reject electronic returns with missing or inconsistent information via math error.","On-Track","Approximately, 94% of EITC returns are filed electronically, and math error authority.  ","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018 12:35PM","Dec 14 2018 12:35PM","VA","Pension","Progress Goal #1","Update current SSA Death Match utilizing the Death Master File to include award dependents of Veterans and survivors/beneficiaries.  Initiative would help ensure timely award adjustments based on death of dependents on VA running awards.","On-Track","Pension and Fiduciary Service drafted business requirements, however, review shows additional factors need to be considered before IT review.  ","Aug 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:15PM","Dec 14 2018  1:15PM","VA","VA Community Care","Progress Goal #1","Implement the remaining seven Medicare Fee Schedules in FBCS.","On-Track","Work toward this task began on 9/1/2018.","Mar 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","Progress Goal #1","Finalize Component corrective action plans (CAPs) for travel improper payments. ","On-Track","","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:54PM","Dec 14 2018  1:54PM","DOD","Military Pay","Progress Goal #1","Update the Military Pay sampling and testing plans, and notify OMB of the revised timeframe for sampling and obtain OMB approval.","Completed","","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:31PM","Dec 14 2018  3:31PM","VA","Compensation","Progress Goal #1","Consistency studies are a training tool to assess the knowledge level of a particular aspect of the claims process.  The employee would take a pretest, and is required to get a 100 percent; otherwise, the employee would have to take training specific","On-Track","Notice of the consistency study date, title, and time will be provided to the ROs prior to the scheduled date of this study.","Sep 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:45PM","Dec 14 2018  3:45PM","VA","Purchased Long Term Services and Supports","Progress Goal #1","Develop and implement process for converting Basic Ordering Agreements to Indefinite Delivery Indefinite Quantity (IDIQ) contracts to ensure Ordering Officers are in place and contracts are compliant with FAR.","On-Track","Currently in the process of conducting an inventory on the ordering officers delegations for facilities that have converted IDIQ's within the last 18 months. ","Feb 19 2018 12:00AM","Q4 2018"
