"End Date","Recorded Date","Agency","Program Name","Accomplishment","AccomplishmentDate","Quarter Year"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","","","Q4 2018"
"Dec 14 2018  1:54PM","Dec 14 2018  1:54PM","DOD","Military Pay","","","Q4 2018"
"Dec 14 2018  3:31PM","Dec 14 2018  3:31PM","VA","Compensation","Established a uniform administrative error paid/due calculator designed for mandated use by all ROs to ensure the proper calculation of overpayment amounts involving administrative errors greater than $25,000.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:45PM","Dec 14 2018  3:45PM","VA","Purchased Long Term Services and Supports","Secured approval for additional detail to support IPERA that will help reduce lack of documentation errors (see Root Cause #2).","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:37PM","Dec 14 2018  4:37PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","a.	Release of updated guidance for state agency administrative review of local school meal program operations. The guidance provided clarifications on resource management and more accurately assessing fiscal action.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:47PM","Dec 14 2018  4:47PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","a.	Release of updated guidance for state agency administrative review of local school meal program operations. The guidance provided clarifications on resource management and more accurately assessing fiscal action.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:56PM","Dec 14 2018  4:56PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","DOL developed a methodology for identifying states with a high-rate/high-impact on the national UI improper payment rate.","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:07PM","Dec 14 2018  5:07PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","RMAâ€™s six RCOs completed the initial review of the 402 case policies in the Fiscal Year 2019 IPERIA sample.  ","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:20PM","Dec 14 2018  5:20PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","a.	FNS released a comprehensive guide to assist States in reducing fraud, called our Fraud Framework.  It is a toolkit designed to help states prevent and detect fraud, and sharpen their investigative techniques.","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:22PM","Dec 14 2018  5:22PM","FCC","Universal Service Fund - Lifeline","Began manual eligibility checking of current and prospective Lifeline subscribers in the National Verifier.","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:27PM","Dec 14 2018  5:27PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Completed all fieldwork for the 2-year Funding and Participation ME target area.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 17 2018  5:18PM","Dec 17 2018  5:18PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Targeted technical assistance, monthly calls, and site visits with various states helped identify root causes & proper mitigation strategies, identify technical assistance needs, and focus discussions around policy/procedure to dig into root causes.","Nov 18 2018 12:00AM","Q4 2018"
"Apr 11 2019  3:21PM","Apr 11 2019  3:21PM","DOT","Federal Highway Administration Highway Planning and Construction","test","","Q2 2019"
"Apr 11 2019 10:14PM","Apr 11 2019 10:14PM","SSA","Supplemental Security Income (SSI)","Evaluating outcomes of integrating third party non-home real property data in the SSI claims system, collecting and analyzing management information. Preliminary analysis; positive results. Efforts to collect additional data to assess ROI is ongoing.","Dec  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  9:49AM","Apr 19 2019  9:49AM","DOD","DoD Travel Pay","","","Q2 2019"
"Apr 19 2019  9:52AM","Apr 19 2019  9:52AM","VA","Purchased Long Term Services and Supports","","","Q2 2019"
"Apr 19 2019 10:09AM","Apr 19 2019 10:09AM","VA","VA Community Care","OCC staff completed the transitioning of additional business rules into FBCS. The focus was on identifying new business rules to help identify improper payments in a pre-payment state.","Mar  1 2019 12:00AM","Q2 2019"
"Apr 19 2019 10:26AM","Apr 19 2019 10:26AM","VA","Pension","","","Q2 2019"
"Apr 19 2019 10:39AM","Apr 19 2019 10:39AM","VA","Compensation","","","Q2 2019"
"Apr 19 2019 11:01AM","Apr 19 2019 11:01AM","DOD","Military Pay","","","Q2 2019"
"Apr 19 2019  2:33PM","Apr 19 2019  2:33PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Provided targeted technical assistance, monthly calls, and a site visit to help states identify root causes and mitigation strategies, technical assistance needs, and focus discussions on policy/procedure implementation.","Apr  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  2:47PM","Apr 19 2019  2:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","","","Q2 2019"
"Dec 10 2021  3:20PM","Dec 10 2021  3:20PM","DOD","Military Retirement","R&Aâ€™s metrics for FY 2021 improper payments are officially green. As of July 2021, the improper payments plus unknown payments rate is 0.35%, exceeding the goal of below 0.40%","Jul  1 2021 12:00AM","Q4 2021"
"Apr 19 2019  2:53PM","Apr 19 2019  2:53PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","The state assessment contractor visited 13 states since FY17. The contractor assessed compliance with provider screening and enrollment requirements, conducted a gap analysis, and developed strategic blueprints to help improve the stateâ€™s processes.","Mar  1 2019 12:00AM","Q2 2019"
