"agency","Key","Title","value","Fiscal_Year"
"CFTC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"CFTC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2023"
"CFTC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"CFTC","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","No","2023"
"CFTC","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","No","2024"
"CFTC","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","","2024"
"CFTC","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","","2023"
"CFTC","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","","2024"
"CFTC","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"CFTC","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","","2023"
"CFTC","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","","2024"
"CNCS","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"CNCS","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2023"
"CNCS","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"CNCS","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2023"
"CNCS","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2024"
"CNCS","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","The Retired and Senior Volunteer Program (RSVP),National Service Trust","2023"
"CNCS","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","The Senior Companion Program (SCP),The Retired and Senior Volunteer Program (RSVP)","2024"
"CNCS","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2024"
"CNCS","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","Yes","2023"
"CNCS","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"CNCS","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","National Service Trust","2023"
"CNCS","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2023"
"CNCS","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2024"
"CPSC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"CPSC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"CPSC","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2024"
"CPSC","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Non-Payroll,Payroll - Consumer Product Safety Commission","2024"
"CPSC","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2024"
"CPSC","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"CPSC","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2024"
"CSOSA","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"CSOSA","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2023"
"CSOSA","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"CSOSA","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","No","2024"
"CSOSA","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2023"
"CSOSA","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","","2024"
