"agency","Program Name","key","value","title","Fiscal_Year"
"CNCS","AmeriCorps State and National","cyp1","255.98","[cyp1]What is the dollar amount of outlays? (Unit- $M)","2022"
"CNCS","AmeriCorps State and National","cyp1","271.747","[cyp1]What is the dollar amount of outlays? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp1","411.81","[cyp1]What is the dollar amount of outlays? (Unit- $M)","2024"
"CNCS","AmeriCorps State and National","cyp2","0","[cyp2]What is the dollar amount of Overpayments within the agency's control? (Unit - $M)","2022"
"CNCS","AmeriCorps State and National","cyp2","0.0","[cyp2]What is the dollar amount of Overpayments within the agency's control? (Unit - $M)","2024"
"CNCS","AmeriCorps State and National","cyp22","2.6421731483291","[cyp22]Calculated: What is the Overpayment Rate? (Unit- Percentage)","2021"
"CNCS","AmeriCorps State and National","cyp23","0.033487030215605","[cyp23]Calculated: What is the Underpayment Rate? (Unit- Percentage)","2023"
"CNCS","AmeriCorps State and National","app3_1","AmeriCorps had previously established a Payment Integrity Corrective Action Plan working group. This group will be revived in FY 2025 analyzing the latest payment integrity results and determining the best actions to reduce rates. Additionally, AmeriCorps has developed an internal control for grantees trainings that will be required in the FY 2025 terms and conditions. AmeriCorps will develop specific required remediations for grantees with identical year over year findings.","[app3_1]Provide a minimum of 2-5 sentences describing the Training corrective action(s) PLANNED. (Unit Free-Text)","2024"
"CNCS","AmeriCorps State and National","cyp2","0.0","[cyp2]What is the dollar amount of Overpayments within the agency's control? (Unit - $M)","2021"
"CNCS","AmeriCorps State and National","cyp20_1","1","[cyp20_1]What is the Current Year +1 Improper Payment and Unknown Payment Reduction target? (unit - enter the number as you would like it displayed, a % symbol will appear next to the response when displayed on paymentaccuracy.gov)","2023"
"CNCS","AmeriCorps State and National","cyp21","11.876","[cyp21]Calculated: What is the Overpayment dollar amount? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp24","4.5409884929732","[cyp24]Calculated: What is the Unknown Payment Rate? (Unit- Percentage)","2023"
"CNCS","AmeriCorps State and National","cyp24","6.1332916634112","[cyp24]Calculated: What is the Unknown Payment Rate? (Unit- Percentage)","2022"
"CNCS","AmeriCorps State and National","cyp25","0","[cyp25]Calculated: What is the Technically Improper Payment Rate? (Unit- Percentage)","2021"
"CNCS","AmeriCorps State and National","app4_1","The agency will continue to provide resolution packets to grantees in FY 2025 assessment linking specific root cause drivers of improper payments to the corresponding applicable statute, regulation, and available trainings at the end of the testing process in Q3-Q4. Recorded training will continue to be available for grantees to access during the process that begins in Q1. The internal control training will be launched in Q2. Corrective actions will occur at the end of the testing in Q2-Q4.","[app4_1]Provide a minimum of 2-5 sentences describing the Change Process corrective action(s) PLANNED. (Unit Free-Text)","2024"
"CNCS","AmeriCorps State and National","app3_1","AmeriCorps plans to continue to provide training and resources to grantees to ensure proper utilization of grant funds. AmeriCorps has a Payment Integrity Corrective Action Plan working group that includes accountable program officials and key agency stakeholders. The working group has created training and resources targeted at the root cause drivers of improper payments which are available on the agency’s website or grantee training platform (LITMOS). The working group plans to analyze the FY 2023 improper payments root cause drivers and explore opportunities to create new resources or expand on those that currently exist in FY 2024.","[app3_1]Provide a minimum of 2-5 sentences describing the Training corrective action(s) PLANNED. (Unit Free-Text)","2023"
"CNCS","AmeriCorps State and National","cyp2","0","[cyp2]What is the dollar amount of Overpayments within the agency's control? (Unit - $M)","2023"
"CNCS","AmeriCorps State and National","cyp4_1","AmeriCorps awards grants only to eligible recipients through the grant pre-award process and due diligence reviews. Once the agency obligates the grant funds, program participant and payment decisions are made at the grantee level. AmeriCorps does not review or approve grant expenses prior to payment. The agency is unable to prevent improper payments from occurring through agency systems or DNP before grantees make payments.","[cyp4_1]Provide a minimum of 3-5 sentences explaining why the overpayments are outside of the agency control. When explaining why the overpayments are outside of the agency's control provide enough additional details to convince the reader that the agency is unable to prevent the improper payments from occurring 'left of check'. (Unit- Free-text)","2024"
"CNCS","AmeriCorps State and National","cyp20_1","1.0","[cyp20_1]What is the Current Year +1 Improper Payment and Unknown Payment Reduction target? (unit - enter the number as you would like it displayed, a % symbol will appear next to the response when displayed on paymentaccuracy.gov)","2024"
"CNCS","AmeriCorps State and National","cyp4_1","AmeriCorps awards grants only to eligible recipients through the grant pre-award process and due diligence reviews. Once the agency obligates the grant funds, program participants and payment decisions are made at the grantee level. AmeriCorps does not review or approve grant expenses prior to payment. The agency is unable to prevent improper payments from occurring through agency systems or DNP before grantees make payments.","[cyp4_1]Provide a minimum of 3-5 sentences explaining why the overpayments are outside of the agency control. When explaining why the overpayments are outside of the agency's control provide enough additional details to convince the reader that the agency is unable to prevent the improper payments from occurring 'left of check'. (Unit- Free-text)","2023"
"CNCS","AmeriCorps State and National","cyp26","0.091","[cyp26]Calculated: What is the Non-Monetary Loss dollar amount? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp22","1.9207887132415435","[cyp22]Calculated: What is the Overpayment Rate? (Unit- Percentage)","2024"
"CNCS","AmeriCorps State and National","cyp1","255.85","[cyp1]What is the dollar amount of outlays? (Unit- $M)","2021"
"CNCS","AmeriCorps State and National","cyp26","0.33","[cyp26]Calculated: What is the Non-Monetary Loss dollar amount? (Unit- $M)","2021"
"CNCS","AmeriCorps State and National","cyp21","7.91","[cyp21]Calculated: What is the Overpayment dollar amount? (Unit- $M)","2024"
"CNCS","AmeriCorps State and National","cyp5",".091","[cyp5]What is the dollar amount of Underpayments? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp22","2.2384561293851","[cyp22]Calculated: What is the Overpayment Rate? (Unit- Percentage)","2022"
"CNCS","AmeriCorps State and National","cyp26","0.095","[cyp26]Calculated: What is the Non-Monetary Loss dollar amount? (Unit- $M)","2022"
"CNCS","AmeriCorps State and National","cyp21","5.73","[cyp21]Calculated: What is the Overpayment dollar amount? (Unit- $M)","2022"
"CNCS","AmeriCorps State and National","cyp23","0.12898182528825","[cyp23]Calculated: What is the Underpayment Rate? (Unit- Percentage)","2021"
"CNCS","AmeriCorps State and National","cyp25","0","[cyp25]Calculated: What is the Technically Improper Payment Rate? (Unit- Percentage)","2023"
"CNCS","AmeriCorps State and National","cyp22","4.370241437808","[cyp22]Calculated: What is the Overpayment Rate? (Unit- Percentage)","2023"
"CNCS","AmeriCorps State and National","cyp27","5.825","[cyp27]Calculated: What is the Improper Payment dollar amount? (Unit- $M)","2022"
"CNCS","AmeriCorps State and National","cyp21","6.76","[cyp21]Calculated: What is the Overpayment dollar amount? (Unit- $M)","2021"
"CNCS","AmeriCorps State and National","cyp24","7.6607387140903","[cyp24]Calculated: What is the Unknown Payment Rate? (Unit- Percentage)","2021"
"CNCS","AmeriCorps State and National","cyp23","0.037112274396437","[cyp23]Calculated: What is the Underpayment Rate? (Unit- Percentage)","2022"
"CNCS","AmeriCorps State and National","cyp28","2.2755684037815","[cyp28]Calculated: What is the Improper Payment Rate? (Unit- Percentage)","2022"
"CNCS","AmeriCorps State and National","cyp24","6.2837230761759066","[cyp24]Calculated: What is the Unknown Payment Rate? (Unit- Percentage)","2024"
"CNCS","AmeriCorps State and National","cyp29","8.2054831111434865","[cyp29]Calculated: What is the Improper Payment and Unknown Payment Rate? (Unit- Percentage)","2024"
"CNCS","AmeriCorps State and National","cyp23","9.7132172603870716E-4","[cyp23]Calculated: What is the Underpayment Rate? (Unit- Percentage)","2024"
"CNCS","AmeriCorps State and National","cyp3","6.76","[cyp3]What is the dollar amount of Overpayments Outside of the agency's control? (Unit- $M)","2021"
"CNCS","AmeriCorps State and National","cyp25","0.0","[cyp25]Calculated: What is the Technically Improper Payment Rate? (Unit- Percentage)","2024"
"CNCS","AmeriCorps State and National","cyp27","7.09","[cyp27]Calculated: What is the Improper Payment dollar amount? (Unit- $M)","2021"
"CNCS","AmeriCorps State and National","cyp5_cup3","0.004","[cyp5_cup3]What is the dollar amount of underpayments that occurred because of a Failure to Access Data/Information Needed to validate payment accuracy prior to making a payment? (Unit- $M)","2024"
"CNCS","AmeriCorps State and National","cyp3_cop6","11.876","[cyp3_cop6]What is the dollar amount of overpayments outside of the agency's control that occurred because of a Failure to Access Data/Information Needed to validate payment accuracy prior to making a payment? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp3_cop6","7.91","[cyp3_cop6]What is the dollar amount of overpayments outside of the agency's control that occurred because of a Failure to Access Data/Information Needed to validate payment accuracy prior to making a payment? (Unit- $M)","2024"
"CNCS","AmeriCorps State and National","cyp27","7.914","[cyp27]Calculated: What is the Improper Payment dollar amount? (Unit- $M)","2024"
"CNCS","AmeriCorps State and National","cyp6","0","[cyp6]What is the dollar amount of Technically Improper Payments? (Unit- $M)","2022"
"CNCS","AmeriCorps State and National","cyp27","11.967","[cyp27]Calculated: What is the Improper Payment dollar amount? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp5","0.33","[cyp5]What is the dollar amount of Underpayments? (Unit- $M)","2021"
"CNCS","AmeriCorps State and National","cyp26","0.004","[cyp26]Calculated: What is the Non-Monetary Loss dollar amount? (Unit- $M)","2024"
"CNCS","AmeriCorps State and National","cyp5_cup2","0","[cyp5_cup2]What is the dollar amount of underpayments that occurred because of an inability to Access the Data/Information Needed to validate payment accuracy prior to making a payment? (Unit- $M)","2022"
"CNCS","AmeriCorps State and National","cyp5_cup3",".091","[cyp5_cup3]What is the dollar amount of underpayments that occurred because of a Failure to Access Data/Information Needed to validate payment accuracy prior to making a payment? (Unit- $M)","2023"
"CNCS","AmeriCorps State and National","cyp28","1.9217600349675821","[cyp28]Calculated: What is the Improper Payment Rate? (Unit- Percentage)","2024"
"CNCS","AmeriCorps State and National","cyp5_cup2","0.0","[cyp5_cup2]What is the dollar amount of underpayments that occurred because of an inability to Access the Data/Information Needed to validate payment accuracy prior to making a payment? (Unit- $M)","2021"
