"Agency","Program_Name","Fiscal_Year","Month_and_Year_start__date_for_data","Month_and_Year_end__date_for_data","CY_Confidence_Level_%","CY_Margin__of_Error_+/-","Outlays_($M)","IP_Amount_($M)","CY_Over-payment_$","CY_Under-payment_$","CY_Unknown_Payments_$","CY_Technically_Improper__due_to_Statute_or_Reg_$","CY_Overpayment_Rate","CY_Under_payment_Rate","CY_Unknown_Payments_Rate","CY_Technically_Improper_due_to_Statute_or_Reg_Rate","IP_Rate","IP_Unknown_Amount_($M)","IP_Unknown_Rate","IP_Unknown_Target_Rate","Outlays_Current_Year+1_Amount","Unknown_Curent_Year+1_Amount","IP_Current_Year+1_Amount","IP_Unknown_Current_Year+1_Rate"
"CFTC","Operations and Administration","2022","","","","","","","","","","","","","","","","","","","","","",""
"CFTC","Whistleblower Payments - Commodity Futures Trading Commission","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2021","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps State and National","2012","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps State and National","2013","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps State and National","2014","","","","","303.5100000000","","","","","","","","","","0.04082237820000","12.3900000000","0.04082237820000","","","","",""
"CNCS","AmeriCorps State and National","2015","","","","","222.4000000000","","14.5000000000","0.0000000000","","","0.06519784170000","0.00000000000000","","","0.06519784170000","14.5000000000","0.06519784170000","","","","",""
"CNCS","AmeriCorps State and National","2016","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps State and National","2017","","","","","247.1920000000","","26.7800000000","0.0000000000","","","0.10833683940000","0.00000000000000","","","0.10834493030000","26.7820000000","0.10834493030000","","","","",""
"CNCS","AmeriCorps State and National","2018","","","","","244.6700000000","","40.0000000000","0.1000000000","","","0.16348551110000","0.00040871380000","","","0.16389422490000","40.1000000000","0.16389422490000","","","","",""
"CNCS","AmeriCorps State and National","2019","2018-04-19","2019-03-01","$0.90"," +/-  6.81","236.2100000000","7.5400000000","7.1200000000","0.4200000000","31.4900000000","0.0000000000","0.03014266970000","0.00177807880000","0.13331357690000","0.00000000000000","0.03192074850000","39.0300000000","0.16523432540000","","","","",""
"CNCS","AmeriCorps State and National","2020","2019-04-01","2020-03-31","0.95","   +/- 5.4","259.2600000000","5.5700000000","3.7700000000","1.8000000000","16.5700000000","0.0000000000","0.01454138700000","0.00694283730000","0.06391267450000","0.00000000000000","0.02148422430000","22.1400000000","0.08539689890000","","","","",""
"CNCS","AmeriCorps State and National","2021","2020-04-01","2021-03-01",">95%","16.3","255.8500000000","7.0900000000","6.7600000000","0.3300000000","19.6000000000","0.0000000000","0.02642173150000","0.00128981830000","0.07660738710000","0.00000000000000","0.02771154970000","26.6900000000","0.10431893690000","","384.0000000000","26.5100000000","9.5900000000","0.09401041670000"
"CNCS","AmeriCorps State and National","2022","2021-04-01","2022-03-01","95% to <100%","4.3","255.9800000000","5.8250000000","5.7300000000","0.0950000000","15.7000000000","0.0000000000","0.02238456130000","0.00037112270000","0.06133291660000","0.00000000000000","0.02275568400000","21.5250000000","0.08408860070000","0.07400000000000","255.9800000000","13.1400000000","5.8200000000","0.07406828660000"
"CNCS","AmeriCorps State and National","2023","2022-03-01","2023-04-01","95% to <100%","5.5","271.7470000000","11.9670000000","11.8760000000","0.0910000000","12.3400000000","0.0000000000","0.04370241440000","0.00033487030000","0.04540988490000","0.00000000000000","0.04403728470000","24.3070000000","0.08944716960000","0.01000000000000","271.7470000000","10.9800000000","10.6100000000","0.07944889920000"
"CNCS","AmeriCorps State and National","2024","2023-04-01","2024-03-01","95% to <100%","4.5","411.8100000000","7.9140000000","7.9100000000","0.0040000000","25.8770000000","0.0000000000","0.01920788713200","0.00000971321700","0.06283723076200","0.00000000000000","0.01921760035000","33.7910000000","0.08205483111100","0.01000000000000","411.8200000000","23.8200000000","5.8400000000","0.07202175707800"
"CNCS","AmeriCorps State Service Commission Grants","2021","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps State Service Commission Grants","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2021","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","National Service Trust","2021","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","National Service Trust","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","National Service Trust","2024","2023-01-01","2024-12-01","95% to <100%","1.76","106.3100000000","0.0000000000","0.0000000000","0.0000000000","3.3500000000","0.0000000000","0.00000000000000","0.00000000000000","0.03151161696900","0.00000000000000","0.00000000000000","3.3500000000","0.03151161696900","0.00000000000000","106.3100000000","3.3500000000","0.0000000000","0.03151161696900"
"CNCS","Office of Human Capital (Payroll)","2021","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","Office of Human Capital (Payroll)","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","Office of Procurement Services","2021","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","Office of Procurement Services","2022","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2012","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2013","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2014","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2015","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2016","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2017","","","","","82.4790000000","","14.0660000000","0.0000000000","","","0.17054038000000","0.00000000000000","","","0.17054038000000","14.0660000000","0.17054038000000","","","","",""
