"Agency","Program_or_Activity","Confirmed_Fraud","Fiscal_Year"
"BBG","BBG","0.0010000000","2017"
"BBG","Domestic Payroll","0.0070000000","2017"
"CFTC","","-1.0000000000","2022"
"CFTC","","0.0000000000","2023"
"CFTC","","0.0000000000","2024"
"CNCS","","0.0680000000","2024"
"CNCS","","0.3250000000","2023"
"CNCS","","2.1500000000","2022"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","0.0000000000","2021"
"CNCS","AmeriCorps State and National","0.0023000000","2019"
"CNCS","AmeriCorps State and National","1.9400000000","2021"
"CNCS","AmeriCorps State and National","2.5600000000","2020"
"CNCS","AmeriCorps State Service Commission Grants","0.0000000000","2021"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","0.0000000000","2021"
"CNCS","FGP","1.1400000000","2019"
"CNCS","National Service Trust","0.0000000000","2021"
"CNCS","Office of Human Capital (Payroll)","0.0000000000","2021"
"CNCS","Office of Procurement Services","0.0000000000","2021"
"CNCS","The Foster Grandparent Program (FGP)","0.0300000000","2021"
"CNCS","The Foster Grandparent Program (FGP)","0.0800000000","2020"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","0.0000000000","2021"
"CNCS","The Senior Companion Program (SCP)","0.0000000000","2021"
"CNCS","The Senior Companion Program (SCP)","0.0600000000","2020"
"CPSC","","0.0000000000","2022"
"CPSC","","0.0000000000","2024"
"CPSC","Non-Payroll","0.0000000000","2019"
"CPSC","Non-Payroll","0.0000000000","2020"
"CPSC","Non-Payroll","0.0000000000","2021"
"CPSC","Payroll - Consumer Product Safety Commission","0.0000000000","2021"
"CSOSA","","0.0000000000","2022"
"CSOSA","","0.0000000000","2023"
"DFC","","0.0000000000","2024"
"DHS","","15.8330000000","2022"
"DHS","","26.1411992700","2023"
"DHS","","28.8932260800","2024"
"DHS","CBP","0.3717281500","2017"
"DHS","CBP","3.2960000000","2018"
"DHS","CBP","11.9791083300","2019"
"DHS","CBP","14.4598154600","2020"
"DHS","CIS","9.0980000000","2018"
"DHS","Countering Weapons of Mass Destruction","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Health and Medical Readiness","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Integrated Operations","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","0.0000000000","2021"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","0.0000000000","2021"
"DHS","Customs and Border Protection","0.0000000000","2021"
"DHS","Cybersecurity and Infrastructure Security Agency","0.0000000000","2021"
"DHS","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","0.0000000000","2021"
"DHS","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","0.0000000000","2021"
"DHS","DHS HQ","0.1000000000","2020"
"DHS","Federal Emergency Management Agency","7.8870000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - American Red Cross","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - American Red Cross - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Case Management","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Case Management","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Case Management - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Emergency Management Baseline Assessment Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Fleet Card","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Fleet Card - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - FRM Risk Map","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - FRM Risk Map - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Homeland Security Preparedness Technical Assistance Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Intercity Bus Security Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Intragovernmental Personnel Act (IPA)","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Lost Wages","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - National Dam Safety Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - National Earthquake Hazards Reduction Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - National Incident Management System","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Payroll","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Public Assistance","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Purchase Card","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Purchase Card - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Reinsurance","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Training Grants","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Travel","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Travel - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - U.S. Fire Administration","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Vendor Pay","0.0000000000","2021"
"DHS","Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Law Enforcement Training Centers","0.0000000000","2021"
"DHS","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","0.0000000000","2021"
"DHS","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET) - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Federal Law Enforcement Training Centers (FLETC) - Mission Support","0.0000000000","2021"
"DHS","FEMA","1.5156281700","2020"
