"Agency","Program_Name","Fiscal_Year","Payment_Type","Program_Design_or_Structural_Issue","Inability_to_Authenticate_Eligibility","Inability_to_Authenticate_Eligibility:_Inability_to_Access_Data","Inability_to_Authenticate_Eligibility:_Data_Needed_Does_Not_Exis","Insufficient_Documentation_to_Determine","Failure_to_Access_Data","Address_Location","Contractor_or_Provider_Status","Financial"
"BBG","Domestic Payroll","2017","Overpayments","","","","","","","","",""
"BBG","Domestic Payroll","2016","Overpayments","","","","","","","","",""
"BBG","Domestic Payroll","2016","Underpayments","","","","","","","","",""
"BBG","Domestic Payroll","2017","Underpayments","","","","","","","","",""
"CFTC","Operations and Administration","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CFTC","Operations and Administration","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CFTC","Operations and Administration","2022","Technically Improper","0.0000000000","","","","","","","",""
"CFTC","Operations and Administration","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CFTC","Operations and Administration","2022","Unknown","","","","","0.0000000000","","","",""
"CFTC","Whistleblower Payments - Commodity Futures Trading Commission","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CFTC","Whistleblower Payments - Commodity Futures Trading Commission","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CFTC","Whistleblower Payments - Commodity Futures Trading Commission","2022","Technically Improper","0.0000000000","","","","","","","",""
"CFTC","Whistleblower Payments - Commodity Futures Trading Commission","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CFTC","Whistleblower Payments - Commodity Futures Trading Commission","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2021","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps National Civilian Community Corps (NCCC)","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps State and National","2020","Overpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","AmeriCorps State and National","2017","Overpayments","0.3524010000","","","","26.4300940000","","","",""
"CNCS","AmeriCorps State and National","2015","Overpayments","1.0000000000","","","","13.5000000000","","","",""
"CNCS","AmeriCorps State and National","2018","Overpayments","1.2903225806","","","","23.2258064516","","","",""
"CNCS","AmeriCorps State and National","2019","Overpayments","1.8700000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","AmeriCorps State and National","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","6.7600000000","0.0000000000","0.0000000000","6.7600000000"
"CNCS","AmeriCorps State and National","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State and National","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2020","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2019","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2017","Underpayments","","","","","","","","",""
"CNCS","AmeriCorps State and National","2015","Underpayments","","","","","","","","",""
"CNCS","AmeriCorps State and National","2018","Underpayments","","","","","","","","",""
"CNCS","AmeriCorps State and National","2020","Underpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","AmeriCorps State and National","2021","Underpayments","","","0.0000000000","0.0000000000","","0.3300000000","0.0000000000","0.0000000000","0.3300000000"
"CNCS","AmeriCorps State and National","2019","Underpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","AmeriCorps State and National","2020","Unknown","","","","","16.5700000000","","","",""
"CNCS","AmeriCorps State and National","2019","Unknown","","","","","31.4900000000","","","",""
"CNCS","AmeriCorps State and National","2021","Unknown","","","","","19.6000000000","","","",""
"CNCS","AmeriCorps State and National","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","5.7300000000","0.0000000000","0.0000000000","5.7300000000"
"CNCS","AmeriCorps State and National","2023","Overpayments outside agency control","","","0.0000000000","0.0000000000","","11.8760000000","0.0000000000","0.0000000000","11.8760000000"
"CNCS","AmeriCorps State and National","2024","Overpayments outside agency control","","","0.0000000000","0.0000000000","","7.9100000000","0.0000000000","0.0000000000","7.9100000000"
"CNCS","AmeriCorps State and National","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","5.7300000000","0.0000000000","0.0000000000","5.7300000000"
"CNCS","AmeriCorps State and National","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State and National","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State and National","2023","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State and National","2024","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State and National","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2023","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2024","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State and National","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0950000000","0.0000000000","0.0000000000","0.0950000000"
"CNCS","AmeriCorps State and National","2023","Underpayments","","","0.0000000000","0.0000000000","","0.0910000000","0.0000000000","0.0000000000","0.0910000000"
"CNCS","AmeriCorps State and National","2024","Underpayments","","","0.0000000000","0.0000000000","","0.0040000000","0.0000000000","0.0000000000","0.0040000000"
"CNCS","AmeriCorps State and National","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0950000000","0.0000000000","0.0000000000","0.0950000000"
"CNCS","AmeriCorps State and National","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps State and National","2023","Unknown","","","","","12.3400000000","","","",""
"CNCS","AmeriCorps State and National","2022","Unknown","","","","","15.7000000000","","","",""
"CNCS","AmeriCorps State and National","2024","Unknown","","","","","25.8770000000","","","",""
