"Agency","Fiscal_Year","Program_Name","Gaa1","raa7","raa6"
"AB","2023","Rehabilitation Act Section 502","No","",""
"CFTC","2022","Operations and Administration","Yes","No","Yes"
"CFTC","2022","Whistleblower Payments - Commodity Futures Trading Commission","Yes","No","Yes"
"CFTC","2023","Operations and Administration","Yes","",""
"CFTC","2023","Whistleblower Payments - Commodity Futures Trading Commission","No","",""
"CFTC","2024","Operations and Administration","Yes","",""
"CFTC","2024","Whistleblower Payments - Commodity Futures Trading Commission","Yes","",""
"CNCS","2021","AmeriCorps National Civilian Community Corps (NCCC)","Yes","No","Yes"
"CNCS","2021","AmeriCorps State Service Commission Grants","Yes","No","Yes"
"CNCS","2021","AmeriCorps Volunteers in Service to America (VISTA)","Yes","No","Yes"
"CNCS","2021","National Service Trust","Yes","No","Yes"
"CNCS","2021","Office of Human Capital (Payroll)","Yes","No","Yes"
"CNCS","2021","Office of Procurement Services","Yes","No","Yes"
"CNCS","2022","AmeriCorps National Civilian Community Corps (NCCC)","Yes","","No"
"CNCS","2022","AmeriCorps State and National","Yes","No","Yes"
"CNCS","2022","AmeriCorps State Service Commission Grants","Yes","No","Yes"
"CNCS","2022","AmeriCorps Volunteers in Service to America (VISTA)","Yes","No","Yes"
"CNCS","2022","National Service Trust","Yes","No","Yes"
"CNCS","2022","Office of Human Capital (Payroll)","Yes","No","Yes"
"CNCS","2022","Office of Procurement Services","Yes","No","Yes"
"CNCS","2023","AmeriCorps National Civilian Community Corps (NCCC)","Yes","",""
"CNCS","2023","AmeriCorps State Service Commission Grants","Yes","",""
"CNCS","2023","AmeriCorps Volunteers in Service to America (VISTA)","Yes","",""
"CNCS","2023","National Service Trust","Yes","Yes","Yes"
"CNCS","2023","Office of Human Capital (Payroll)","Yes","",""
"CNCS","2023","Office of Procurement Services","Yes","",""
"CNCS","2023","The Retired and Senior Volunteer Program (RSVP)","Yes","","Yes"
"CNCS","2024","AmeriCorps National Civilian Community Corps (NCCC)","Yes","",""
"CNCS","2024","AmeriCorps State Service Commission Grants","Yes","",""
"CNCS","2024","AmeriCorps Volunteers in Service to America (VISTA)","Yes","",""
"CNCS","2024","Commission Investment Fund (CIF)","No","",""
"CNCS","2024","Disaster Response Cooperative Agreement","No","",""
"CNCS","2024","MLK Day of Service","No","",""
"CNCS","2024","Office of Human Capital (Payroll)","Yes","",""
"CNCS","2024","Office of Procurement Services","Yes","",""
"CNCS","2024","Office of Research and Evaluation (ORE)","No","",""
"CNCS","2024","Sept 11th National Day of Service","No","",""
"CNCS","2024","The Retired and Senior Volunteer Program (RSVP)","Yes","","Yes"
"CNCS","2024","The Senior Companion Program (SCP)","Yes","","Yes"
"CNCS","2024","Volunteer Generation Fund","Yes","",""
"CPSC","2021","Non-Payroll","Yes","No","Yes"
"CPSC","2021","Payroll - Consumer Product Safety Commission","Yes","No","Yes"
"CPSC","2022","Non-Payroll","Yes","No","Yes"
"CPSC","2022","Payroll - Consumer Product Safety Commission","Yes","No","Yes"
"CPSC","2023","Non-Payroll","No","",""
"CPSC","2023","Payroll - Consumer Product Safety Commission","No","",""
"CPSC","2024","Non-Payroll","Yes","","Yes"
"CPSC","2024","Payroll - Consumer Product Safety Commission","Yes","","Yes"
"CSOSA","2022","Accountability","Yes","","No"
"CSOSA","2022","Integration","Yes","","No"
"CSOSA","2023","Accountability","No","",""
"CSOSA","2023","Continued Pretrial Release","No","",""
"CSOSA","2023","Fair Administration of Justice","No","",""
"CSOSA","2023","Integration","No","",""
"CSOSA","2023","Judicial Concurrence with PSA Recommendations","No","",""
"CSOSA","2023","Maximize Court Appearance","No","",""
"CSOSA","2023","Minimize Rearrest","No","",""
"CSOSA","2023","Reduce Recidivism","No","",""
"CSOSA","2024","Community Supervision Program","Yes","",""
"CSOSA","2024","Pretrial Services Agency","Yes","",""
"DFC","2024","Debt Financing Program ","Yes","","Yes"
"DFC","2024","Equity Program","No","",""
"DFC","2024","Insurance Program","No","",""
"DFC","2024","Technical Assistance Program ","Yes","","Yes"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","Yes","No","Yes"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","Yes","No","Yes"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","Yes","","No"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","Yes","No","Yes"
"DHS","2021","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","Yes","","No"
"DHS","2021","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Disaster Case Management","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","Yes","No","Yes"
