"Agency","Program_Name","Fiscal_Year","key","value"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","OP Amt Identified outside of Payment Recapture Audits","0.0076000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","OP Amt Recapture outside of Payment Recapture Audits","0.0076000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2019","Total Overpayment Amount Recovered","0.0076000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","OP Amt Identified outside of Payment Recapture Audits","0.5370000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","OP Amt Recapture outside of Payment Recapture Audits","0.5330000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
