"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"CFTC","2022","Operations and Administration","0","No","",""
"CFTC","2022","Whistleblower Payments - Commodity Futures Trading Commission","0","No","",""
"CFTC","2023","Operations and Administration","0","","No","No"
"CFTC","2024","Operations and Administration","0","","No","No"
"CFTC","2024","Whistleblower Payments - Commodity Futures Trading Commission","0","","No","No"
"CNCS","2021","AmeriCorps National Civilian Community Corps (NCCC)","","No","",""
"CNCS","2021","AmeriCorps State Service Commission Grants","","No","",""
"CNCS","2021","AmeriCorps Volunteers in Service to America (VISTA)","","No","",""
"CNCS","2021","National Service Trust","","No","",""
"CNCS","2021","Office of Human Capital (Payroll)","","No","",""
"CNCS","2021","Office of Procurement Services","","No","",""
"CNCS","2022","AmeriCorps State and National","0","No","",""
"CNCS","2022","AmeriCorps State Service Commission Grants","0","No","",""
"CNCS","2022","AmeriCorps Volunteers in Service to America (VISTA)","0","No","",""
"CNCS","2022","National Service Trust","0","No","",""
"CNCS","2022","Office of Human Capital (Payroll)","0","No","",""
"CNCS","2022","Office of Procurement Services","0","No","",""
"CNCS","2023","AmeriCorps national Civilian Community Corps (NCCC)","0","","No","No"
"CNCS","2023","AmeriCorps State and National","0","","No","No"
"CNCS","2023","AmeriCorps State Service Commission Grants","0","","No","No"
"CNCS","2023","AmeriCorps Volunteers in Service to America (VISTA)","0","","No","No"
"CNCS","2023","National Service Trust","0","","Yes","Yes"
"CNCS","2023","Office of Human Capital (Payroll)","0","","No","No"
"CNCS","2023","Office of Procurement Services","0","","No","No"
"CNCS","2023","The Foster Grandparent Program (FGP)","0","","No","No"
"CNCS","2023","The Retired and Senior Volunteer Program (RSVP)","0","","Yes","No"
"CNCS","2023","The Senior Companion Program (SCP)","0","","No","No"
"CNCS","2024","AmeriCorps National Civilian Community Corps (NCCC)","0","","No","No"
"CNCS","2024","AmeriCorps State and National","0","","No","No"
"CNCS","2024","AmeriCorps State Service Commission Grants","0","","No","No"
"CNCS","2024","AmeriCorps Volunteers in Service to America (VISTA)","0","","No","No"
"CNCS","2024","National Service Trust","0","","No","No"
"CNCS","2024","Office of Human Capital (Payroll)","0","","No","No"
"CNCS","2024","Office of Procurement Services","0","","No","No"
"CNCS","2024","The Foster Grandparent Program (FGP)","0","","No","No"
"CNCS","2024","The Retired and Senior Volunteer Program (RSVP)","0","","Yes","No"
"CNCS","2024","The Senior Companion Program (SCP)","0","","Yes","No"
"CNCS","2024","Volunteer Generation Fund","0","","No","No"
"CPSC","2019","Consumer Product Safety","","No","",""
"CPSC","2020","Non-Payroll","","NO","",""
"CPSC","2021","Non-Payroll","","No","",""
"CPSC","2021","Payroll - Consumer Product Safety Commission","","No","",""
"CPSC","2022","Non-Payroll","0","No","",""
"CPSC","2022","Payroll - Consumer Product Safety Commission","0","No","",""
"CPSC","2024","Non-Payroll","0","","Yes","No"
"CPSC","2024","Payroll - Consumer Product Safety Commission","0","","Yes","No"
"CSOSA","2023","Accountability","0","","Yes","No"
"CSOSA","2023","Continued Pretrial Release","0","","Yes","No"
"CSOSA","2023","Fair Administration of Justice","0","","Yes","No"
"CSOSA","2023","Integration","0","","Yes","No"
"CSOSA","2023","Judicial Concurrence with PSA Recommendations","0","","Yes","No"
"CSOSA","2023","Maximize Court Appearance","0","","Yes","No"
"CSOSA","2023","Minimize Rearrest","0","","Yes","No"
"CSOSA","2023","Reduce Recidivism","0","","Yes","No"
"CSOSA","2024","Community Supervision Program","0","","No","No"
"CSOSA","2024","Pretrial Services Agency","0","","No","No"
"DFC","2024","Debt Financing Program","0","","Yes","No"
"DFC","2024","Technical Assistance Program","0","","Yes","No"
"DHS","2019","CBP - User Fees","","No","",""
"DHS","2019","CISA - NPPD Legacy","","No","",""
"DHS","2019","CISA - Payroll: NPPD Legacy and OBIM","","No","",""
"DHS","2019","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","","No","",""
"DHS","2019","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","","No","",""
"DHS","2019","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","","No","",""
"DHS","2019","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Reinsurance","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - Training Grants","","No","",""
"DHS","2019","Federal Emergency Management Agency (FEMA) - U.S. Fire Administration","","No","",""
"DHS","2019","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","","No","",""
"DHS","2019","Federal Law Enforcement Training Centers (FLETC) - Mission Support","","No","",""
"DHS","2019","FEMA - Community Disaster Loans","","No","",""
"DHS","2019","ICE - Hurricane Other","","No","",""
"DHS","2019","Immigration and Customs Enforcement (ICE) - Purchase Card","","No","",""
"DHS","2019","Immigration and Customs Enforcement (ICE) - Servicewide Agreements","","No","",""
"DHS","2019","Management Directorate (MGMT) - Federal Protective Service","","No","",""
"DHS","2019","Management Directorate (MGMT) - Management & Administration","","No","",""
"DHS","2019","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","","No","",""
"DHS","2019","Science and Technology Directorate (S&T) - Research & Development","","No","",""
"DHS","2019","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds","","No","",""
"DHS","2019","Transportation Security Administration (TSA) - Operations & Support: Mission Support","","No","",""
"DHS","2019","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","","No","",""
"DHS","2019","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","","No","",""
"DHS","2019","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","","No","",""
"DHS","2019","U.S. Citizenship and Immigration Services (USCIS) - Administration","","No","",""
"DHS","2019","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","","No","",""
"DHS","2019","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","","No","",""
"DHS","2019","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","","No","",""
"DHS","2019","U.S. Customs and Border Protection (CBP) - Automation and Modernization","","No","",""
"DHS","2019","U.S. Customs and Border Protection (CBP) - Border Security Fencing","","No","",""
"DHS","2019","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","","No","",""
"DHS","2019","U.S. Customs and Border Protection (CBP) - Operations and Support","","No","",""
"DHS","2019","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","","No","",""
